"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Faculty",10,20,"Woman","Life sciences","Weekly","Yes","Python,MATLAB","Always","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",5,8,"Woman","Social sciences","Daily","Yes","Stata","Most of the time","Always","Always","Code review",NA,"Most of the time",NA,NA,NA,NA,"A supervisor","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",1,1,"Woman","Physical sciences","Daily","Yes","Python,MATLAB","Sometimes","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","About half the time","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",7,2,"Man","Physical sciences","Weekly","Yes","Python","Sometimes","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser",">100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",1,2,"Man","Social sciences","Daily","I'm not sure","R","Most of the time","Always","Most of the time","Code testing,Code review",NA,"About half the time",NA,"Never","Never","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",10,2,"Woman","Life sciences","Less than once a month","Yes","Python,R","Always","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Perplexity","Most of the time","Perplexity","Through a web browser",">100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",20,5,"Woman","Life sciences","Less than once a month","Yes","R","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","Never","Never",NA,"Never","Never","Never",NA,"ChatGPT,A custom tool provided by organization","Most of the time","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education",NA,"Faculty",12,NA,"Man","Life sciences","Daily","Yes",NA,"Always","Always","Always","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Private sector","United States of America","Research staff",9,11,"Man","Education","Daily","Yes","R","Sometimes","Most of the time","Never","Version control,Code testing,Code review","Always","Always",NA,"About half the time","Most of the time","Sometimes","A peer in your research group","ChatGPT,Microsoft Copilot","About half the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",1,3,"Woman","Engineering","Daily","Yes","Python,C++,Julia","Sometimes","Most of the time","Sometimes","Code testing,Code review",NA,"Sometimes",NA,"About half the time","Sometimes","Most of the time","A supervisor","ChatGPT","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",35,35,"Woman","Engineering","Less than once a month","Yes","R","Sometimes","Sometimes","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"Other (please write in)","Sometimes","Other (please write in)","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Faculty",5,15,"Woman","Business management & administration","Weekly","Yes","Python,R","Always","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","About half the time","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree"
NA,NA,NA,NA,50,NA,NA,"Less than once a month",NA,"R,FORTRAN","Sometimes","Sometimes","Sometimes","Code testing,Code review",NA,"About half the time",NA,"About half the time","Most of the time","Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,10,"Man","Engineering","Daily","Yes","Python","Most of the time","Never","Never","Code testing",NA,NA,NA,"Sometimes","Sometimes","Sometimes",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Post-doctoral researcher",12,3,"Woman","Life sciences","Daily","Yes","Python,R,Bash","Most of the time","About half the time","Never","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",6,6,"Woman","Life sciences","Daily","Yes","JavaScript","Sometimes","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",1,3,"Woman","Other","Daily","Yes","Other","Sometimes","Most of the time","Sometimes","Code testing,Code review",NA,"Sometimes",NA,"Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,4,"Man","Engineering","Weekly","Yes","Python,MATLAB,FORTRAN","Sometimes","Sometimes","Never","Version control,Code testing","About half the time",NA,NA,"Most of the time","Never","Never","Someone else (please write in)","ChatGPT,Perplexity","About half the time","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",6.5,9,"Woman","Mathematics and statistics","Daily","Yes","R,Stata","Sometimes","Most of the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",3,5,"Woman","Engineering","Daily","Yes","Python,R,MATLAB","Always","About half the time","Sometimes","Version control","About half the time",NA,NA,NA,NA,NA,"A peer in your research group","ChatGPT,GitHub Copilot","Sometimes","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",10,5,"Woman","Life sciences","Weekly","Yes","Python,R","Most of the time","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Always","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",2,2,"Woman","Physical sciences","Daily","Yes","Python","Never","Always","Sometimes","Version control,Code testing","Never",NA,NA,"Always","Always","Sometimes",NA,"ChatGPT,Microsoft Copilot","About half the time","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,7,"Woman","Physical sciences","Weekly","Yes","Python,C++,Bash","Most of the time","Most of the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","About half the time","Most of the time","Most of the time","Most of the time","A collaborator outside the research group","ChatGPT,GitHub Copilot","Sometimes","ChatGPT","Through a web browser","<1 line","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",8,13,"Man","Engineering","Weekly","Yes","Python,MATLAB","Sometimes","About half the time","Sometimes","Version control,Code testing,Code review","About half the time","About half the time",NA,"Most of the time","About half the time","About half the time","A peer in your research group","ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"Higher education","United States of America","Research staff",11,30,"Man","Life sciences","Daily","Yes","Python,R,MATLAB","Never","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","Never","Never","Never","Never","Never",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",8,6,"Woman","Psychology","Weekly","I'm not sure","Python,R,C++","Sometimes","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",5,7,"Man","Social sciences","Daily","Yes","Python,R,Stata","Never","Sometimes","Sometimes","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Never","Never","Never","A peer in your research group","ChatGPT,GitHub Copilot,Claude","Sometimes","Claude","Through a web browser","5-10 lines","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree"
